title,author
Tree of Smoke,Denis Johnson
How to Be Both,Ali Smith
Bel Canto,Ann Patchett
Men We Reaped,Jesmyn Ward
"Wayward Lives, Beautiful Experiments",Saidiya Hartman
Bring Up the Bodies,Hilary Mantel
On Beauty,Zadie Smith
Station Eleven,Emily St. John Mandel
The Days of Abandonment,Elena Ferrante; translated by Ann Goldstein
The Human Stain,Philip Roth
The Sympathizer,Viet Thanh Nguyen
The Return,Hisham Matar
The Collected Stories of Lydia Davis,Lydia Davis
"Detransition, Baby",Torrey Peters
Frederick Douglass,David W. Blight
Pastoralia,George Saunders
The Emperor of All Maladies,Siddhartha Mukherjee
When We Cease to Understand the World,Benjamín Labatut; translated by Adrian Nathan West
Hurricane Season,Fernanda Melchor; translated by Sophie Hughes
Pulphead,John Jeremiah Sullivan
The Story of the Lost Child,Elena Ferrante; translated by Ann Goldstein
A Manual for Cleaning Women,Lucia Berlin
Septology,Jon Fosse; translated by Damion Searls
An American Marriage,Tayari Jones
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin
Exit West,Mohsin Hamid
Olive Kitteridge,Elizabeth Strout
The Passage of Power,Robert Caro
Secondhand Time,Svetlana Alexievich; translated by Bela Shayevich
The Copenhagen Trilogy,Tove Ditlevsen; translated by Tiina Nunnally and Michael Favala Goldman
All Aunt Hagar’s Children,Edward P. Jones
The New Jim Crow,Michelle Alexander
The Friend,Sigrid Nunez
Far From the Tree,Andrew Solomon
We the Animals,Justin Torres
The Plot Against America,Philip Roth
The Great Believers,Rebecca Makkai
Veronica,Mary Gaitskill
10:04,Ben Lerner
Demon Copperhead,Barbara Kingsolver
Heavy,Kiese Laymon
Middlesex,Jeffrey Eugenides
Stay True,Hua Hsu
Nickel and Dimed,Barbara Ehrenreich
The Flamethrowers,Rachel Kushner
The Looming Tower,Lawrence Wright
Tenth of December,George Saunders
Runaway,Alice Munro
Train Dreams,Denis Johnson
Life After Life,Kate Atkinson
Trust,Hernan Diaz
The Vegetarian,Han Kang; translated by Deborah Smith
Persepolis,Marjane Satrapi
A Mercy,Toni Morrison
The Goldfinch,Donna Tartt
The Argonauts,Maggie Nelson
The Fifth Season,N.K. Jemisin
Postwar,Tony Judt
A Brief History of Seven Killings,Marlon James
Small Things Like These,Claire Keegan
H Is for Hawk,Helen Macdonald
A Visit From the Goon Squad,Jennifer Egan
The Savage Detectives,Roberto Bolaño; translated by Natasha Wimmer
The Years,Annie Ernaux; translated by Alison L. Strayer
Between the World and Me,Ta-Nehisi Coates
Fun Home,Alison Bechdel
Citizen,Claudia Rankine
Salvage the Bones,Jesmyn Ward
The Line of Beauty,Alan Hollinghurst
White Teeth,Zadie Smith
"Sing, Unburied, Sing",Jesmyn Ward
The Last Samurai,Helen DeWitt
Cloud Atlas,David Mitchell
Americanah,Chimamanda Ngozi Adichie
Atonement,Ian McEwan
Random Family,Adrian Nicole LeBlanc
The Overstory,Richard Powers
"Hateship, Friendship, Courtship, Loveship, Marriage",Alice Munro
Behind the Beautiful Forevers,Katherine Boo
Evicted,Matthew Desmond
Erasure,Percival Everett
Say Nothing,Patrick Radden Keefe
Lincoln in the Bardo,George Saunders
The Sellout,Paul Beatty
The Amazing Adventures of Kavalier & Clay,Michael Chabon
Pachinko,Min Jin Lee
Outline,Rachel Cusk
The Road,Cormac McCarthy
The Year of Magical Thinking,Joan Didion
The Brief Wondrous Life of Oscar Wao,Junot Díaz
Gilead,Marilynne Robinson
Never Let Me Go,Kazuo Ishiguro
Austerlitz,W.G. Sebald; translated by Anthea Bell
The Underground Railroad,Colson Whitehead
2666,Roberto Bolaño; translated by Natasha Wimmer
The Corrections,Jonathan Franzen
The Known World,Edward P. Jones
Wolf Hall,Hilary Mantel
The Warmth of Other Suns,Isabel Wilkerson
My Brilliant Friend,Elena Ferrante; translated by Ann Goldstein
